weeks	diagnostic	prognostic	motivational	injustice_level2	othering	number_texts_all	number_diagnostic	number_prognostic	number_motivational	number_injustice_level2	number_othering	start_date	end_date	non_violent_protest	violent_event	log_number_diagnostic	log_number_prognostic	log_number_motivational	log_number_injustice_level2	log_number_othering
1	0.18925421	0.071371295	0.092221335	0.0521251	0.092221335	1247.0	236.0	89.0	115.0	65.0	115.0	2020-01-01	2020-01-07	0.0	0.0	5.463832	4.4886365	4.744932	4.1743875	4.744932
2	0.24915254	0.107627116	0.087288134	0.07118644	0.1	1180.0	294.0	127.0	103.0	84.0	118.0	2020-01-08	2020-01-14	0.0	0.0	5.68358	4.8441873	4.634729	4.4308167	4.7706847
3	0.26688814	0.07641196	0.09745293	0.12403101	0.098560356	903.0	241.0	69.0	88.0	112.0	89.0	2020-01-15	2020-01-21	2.0	0.0	5.484797	4.2341065	4.477337	4.7184987	4.4886365
4	0.21019678	0.066189624	0.06350626	0.070661895	0.08139535	1118.0	235.0	74.0	71.0	79.0	91.0	2020-01-22	2020-01-28	1.0	0.0	5.4595857	4.304065	4.26268	4.3694477	4.5108595
5	0.28705883	0.08705882	0.09647059	0.10352941	0.12941177	850.0	244.0	74.0	82.0	88.0	110.0	2020-01-29	2020-02-04	0.0	0.0	5.497168	4.304065	4.406719	4.477337	4.7004805
6	0.26342857	0.09314286	0.09142857	0.09142857	0.09314286	1750.0	461.0	163.0	160.0	160.0	163.0	2020-02-05	2020-02-11	0.0	0.0	6.133398	5.09375	5.075174	5.075174	5.09375
7	0.34241244	0.115953304	0.09105058	0.123735406	0.123735406	1285.0	440.0	149.0	117.0	159.0	159.0	2020-02-12	2020-02-18	0.0	0.0	6.086775	5.0039463	4.762174	5.0689044	5.0689044
8	0.25492957	0.0943662	0.10985915	0.0943662	0.0971831	710.0	181.0	67.0	78.0	67.0	69.0	2020-02-19	2020-02-25	0.0	0.0	5.198497	4.204693	4.356709	4.204693	4.2341065
9	0.32569975	0.1043257	0.089058526	0.122137405	0.13486005	393.0	128.0	41.0	35.0	48.0	53.0	2020-02-26	2020-03-03	0.0	0.0	4.8520303	3.713572	3.5553482	3.871201	3.9702919
10	0.2664016	0.11133201	0.10934394	0.06361829	0.10139165	503.0	134.0	56.0	55.0	32.0	51.0	2020-03-04	2020-03-10	0.0	0.0	4.89784	4.0253515	4.0073333	3.465736	3.9318256
11	0.3275862	0.14367816	0.10344828	0.1283525	0.118773945	522.0	171.0	75.0	54.0	67.0	62.0	2020-03-11	2020-03-17	0.0	0.0	5.1416636	4.317488	3.988984	4.204693	4.1271343
12	0.25199544	0.091220066	0.0649943	0.074116305	0.08893957	877.0	221.0	80.0	57.0	65.0	78.0	2020-03-18	2020-03-24	0.0	0.0	5.398163	4.3820267	4.0430512	4.1743875	4.356709
13	0.2721519	0.10970464	0.08649789	0.080168776	0.10548523	474.0	129.0	52.0	41.0	38.0	50.0	2020-03-25	2020-03-31	0.0	0.0	4.8598123	3.9512436	3.713572	3.637586	3.912023
14	0.26404494	0.101123594	0.11516854	0.10393258	0.10393258	356.0	94.0	36.0	41.0	37.0	37.0	2020-04-01	2020-04-07	0.0	0.0	4.543295	3.583519	3.713572	3.6109178	3.6109178
15	0.28426397	0.13197969	0.09898477	0.08629441	0.08629441	394.0	112.0	52.0	39.0	34.0	34.0	2020-04-08	2020-04-14	0.0	0.0	4.7184987	3.9512436	3.6635616	3.5263605	3.5263605
16	0.30560273	0.13412564	0.08488964	0.108658746	0.0713073	589.0	180.0	79.0	50.0	64.0	42.0	2020-04-15	2020-04-21	4.0	0.0	5.192957	4.3694477	3.912023	4.158883	3.7376697
17	0.3914989	0.12751678	0.07158837	0.13199106	0.08277405	447.0	175.0	57.0	32.0	59.0	37.0	2020-04-22	2020-04-28	2.0	0.0	5.164786	4.0430512	3.465736	4.0775375	3.6109178
18	0.30416667	0.14583333	0.1	0.12291667	0.0875	480.0	146.0	70.0	48.0	59.0	42.0	2020-04-29	2020-05-05	2.0	0.0	4.983607	4.248495	3.871201	4.0775375	3.7376697
19	0.37012988	0.114718616	0.10822511	0.16233766	0.064935066	462.0	171.0	53.0	50.0	75.0	30.0	2020-05-06	2020-05-12	2.0	0.0	5.1416636	3.9702919	3.912023	4.317488	3.4011974
